,Year,Refugees,Asylum Seekers,Internal Displacement,displaced
0,2020,345399.9,57073.5,6538557.3,6941030.7
1,2021,345872.8,48327.4,7190208.9,7584409.100000001
2,2022,345986.0,36497.2,6819750.6,7202233.8
3,2023,346421.8,32188.6,6819750.6,7198361.0
4,2024,346421.8,25103.5,6819750.6,7191275.899999999
5,2025,342855.9,25103.5,6803756.7,7171716.100000001
