,Year,Refugees,Asylum Seekers,Internal Displacement,displaced
0,2020,685752.8,126818.2,3678673.1,4491244.1
1,2021,685752.8,126818.2,3941672.5,4754243.5
2,2022,685752.8,126818.2,3662046.1,4474617.1
3,2023,685752.8,126545.2,3662046.1,4474344.1
4,2024,706855.5,126545.2,3488717.1,4322117.8
5,2025,706855.5,126545.2,3888473.0,4721873.7
