,Year,Refugees,Asylum Seekers,Internal Displacement,displaced
0,2020,5142305.4,130904.7,6453326.9,11726537.0
1,2021,4968104.1,134032.7,6490707.5,11592844.3
2,2022,5142035.2,134032.7,6490707.5,11766775.4
3,2023,5447654.0,134032.7,6490707.5,12072394.2
4,2024,5866259.1,143888.4,6494973.7,12505121.2
5,2025,5831871.5,144648.7,6528661.7,12505181.9
