,Year,Refugees,Asylum Seekers,Internal Displacement,displaced
0,2020,2695837.2,261416.9,2060315.3,5017569.4
1,2021,2695837.2,261416.9,2060315.3,5017569.4
2,2022,2695837.2,288585.1,2214310.3,5198732.6
3,2023,2695837.2,288585.1,2214310.3,5198732.6
4,2024,2695837.2,288585.1,2214310.3,5198732.6
5,2025,2695837.2,294071.4,2214310.3,5204218.9
